	no_of_neighbors	similarity_treshold	social_influence	swingers	beta_component	Run	Echo_Chambers	Silent_Spiral	opinions	radical_opinions	network_type
111	3.4091796875	0.848212890625	0.652919921875	2.70703125	0.12724609375	111	8	0.3333333333333333	0.45	0.05	1
112	3.4091796875	0.848212890625	0.275869140625	4.00390625	0.12724609375	112	6	0.36666666666666664	0.58	0.0	1
113	3.4091796875	0.848212890625	0.275869140625	2.70703125	0.38740234375000004	113	10	0.13333333333333333	0.49	0.006666666666666667	1
114	3.4091796875	0.797939453125	0.652919921875	4.00390625	0.38740234375000004	114	7	0.4	0.37666666666666665	0.016666666666666666	1
115	3.9716796875	0.848212890625	0.652919921875	4.00390625	0.38740234375000004	115	6	0.26666666666666666	0.47	0.0	1
116	3.9716796875	0.797939453125	0.275869140625	4.00390625	0.38740234375000004	116	9	0.3	0.5366666666666666	0.0	1
117	3.9716796875	0.797939453125	0.652919921875	2.70703125	0.38740234375000004	117	9	0.26666666666666666	0.48	0.02666666666666667	1
118	3.9716796875	0.797939453125	0.652919921875	4.00390625	0.12724609375	118	8	0.3	0.48	0.03333333333333333	1
119	3.9716796875	0.797939453125	0.652919921875	4.00390625	0.38740234375000004	119	5	0.23333333333333334	0.5166666666666667	0.006666666666666667	1
120	3.0341796875	0.476962890625	0.152119140625	2.20703125	0.23974609375	120	8	0.3	0.5466666666666666	0.0	1
121	4.3466796875	0.476962890625	0.152119140625	2.20703125	0.23974609375	121	2	0.2	0.41333333333333333	0.0	1
122	3.0341796875	0.426689453125	0.152119140625	2.20703125	0.23974609375	122	4	0.3333333333333333	0.4633333333333333	0.0	1
123	3.0341796875	0.476962890625	0.034169921875	2.20703125	0.23974609375	123	4	0.23333333333333334	0.5466666666666666	0.013333333333333334	1
124	3.0341796875	0.476962890625	0.152119140625	2.50390625	0.23974609375	124	3	0.3	0.49333333333333335	0.0	1
125	3.0341796875	0.476962890625	0.152119140625	2.20703125	0.72490234375	125	3	0.3	0.5733333333333334	0.006666666666666667	1
126	3.0341796875	0.426689453125	0.034169921875	2.50390625	0.72490234375	126	2	0.26666666666666666	0.5233333333333333	0.013333333333333334	1
127	4.3466796875	0.476962890625	0.034169921875	2.50390625	0.72490234375	127	1	0.2	0.5233333333333333	0.006666666666666667	1
128	4.3466796875	0.426689453125	0.152119140625	2.50390625	0.72490234375	128	1	0.3333333333333333	0.5	0.0	1
129	4.3466796875	0.426689453125	0.034169921875	2.20703125	0.72490234375	129	1	0.16666666666666666	0.53	0.006666666666666667	1
130	4.3466796875	0.426689453125	0.034169921875	2.50390625	0.23974609375	130	0	0.23333333333333334	0.44	0.006666666666666667	1
131	4.3466796875	0.426689453125	0.034169921875	2.50390625	0.72490234375	131	2	0.26666666666666666	0.6233333333333333	0.0	1
132	4.5341796875	0.971962890625	0.647119140625	4.20703125	0.68974609375	132	0	0.36666666666666664	0.43333333333333335	0.15333333333333332	1
133	2.8466796875	0.971962890625	0.647119140625	4.20703125	0.68974609375	133	7	0.26666666666666666	0.5666666666666667	0.0	1
134	4.5341796875	0.921689453125	0.647119140625	4.20703125	0.68974609375	134	0	0.2	0.48333333333333334	0.20333333333333334	1
135	4.5341796875	0.971962890625	0.529169921875	4.20703125	0.68974609375	135	2	0.26666666666666666	0.5166666666666667	0.0	1
136	4.5341796875	0.971962890625	0.647119140625	4.50390625	0.68974609375	136	2	0.2	0.44333333333333336	0.09	1
137	4.5341796875	0.971962890625	0.647119140625	4.20703125	0.27490234375	137	1	0.23333333333333334	0.49	0.11	1
138	4.5341796875	0.921689453125	0.529169921875	4.50390625	0.27490234375	138	1	0.2	0.38333333333333336	0.23	1
139	2.8466796875	0.971962890625	0.529169921875	4.50390625	0.27490234375	139	3	0.2	0.43	0.006666666666666667	1
140	2.8466796875	0.921689453125	0.647119140625	4.50390625	0.27490234375	140	5	0.4	0.3933333333333333	0.02666666666666667	1
141	2.8466796875	0.921689453125	0.529169921875	4.20703125	0.27490234375	141	7	0.26666666666666666	0.47333333333333333	0.006666666666666667	1
142	2.8466796875	0.921689453125	0.529169921875	4.50390625	0.68974609375	142	6	0.3	0.4666666666666667	0.016666666666666666	1
143	2.8466796875	0.921689453125	0.529169921875	4.50390625	0.27490234375	143	9	0.23333333333333334	0.49333333333333335	0.0	1
144	2.6591796875	0.105712890625	0.523369140625	3.70703125	0.35224609375000004	144	4	0.3333333333333333	0.52	0.006666666666666667	1
145	4.7216796875	0.105712890625	0.523369140625	3.70703125	0.35224609375000004	145	1	0.3333333333333333	0.5166666666666667	0.13	1
146	2.6591796875	0.055439453125	0.523369140625	3.70703125	0.35224609375000004	146	4	0.23333333333333334	0.5566666666666666	0.07666666666666666	1
147	2.6591796875	0.105712890625	0.900419921875	3.70703125	0.35224609375000004	147	11	0.36666666666666664	0.42	0.19	1
148	2.6591796875	0.105712890625	0.523369140625	3.00390625	0.35224609375000004	148	9	0.26666666666666666	0.46	0.013333333333333334	1
149	2.6591796875	0.105712890625	0.523369140625	3.70703125	0.16240234375	149	10	0.3333333333333333	0.5566666666666666	0.05333333333333334	1
150	2.6591796875	0.055439453125	0.900419921875	3.00390625	0.16240234375	150	9	0.26666666666666666	0.48	0.24	1
151	4.7216796875	0.105712890625	0.900419921875	3.00390625	0.16240234375	151	5	0.1	0.6966666666666667	0.31666666666666665	1
152	4.7216796875	0.055439453125	0.523369140625	3.00390625	0.16240234375	152	2	0.16666666666666666	0.42	0.17333333333333334	1
153	4.7216796875	0.055439453125	0.900419921875	3.70703125	0.16240234375	153	8	0.3	0.3	0.32	1
154	4.7216796875	0.055439453125	0.900419921875	3.00390625	0.35224609375000004	154	7	0.26666666666666666	0.73	0.31	1
155	4.7216796875	0.055439453125	0.900419921875	3.00390625	0.16240234375	155	7	0.3	0.7166666666666667	0.4166666666666667	1
156	4.1591796875	0.600712890625	0.028369140624999997	1.70703125	0.80224609375	156	0	0.2	0.4866666666666667	0.0033333333333333335	1
157	3.2216796875	0.600712890625	0.028369140624999997	1.70703125	0.80224609375	157	3	0.26666666666666666	0.42	0.0	1
158	4.1591796875	0.550439453125	0.028369140624999997	1.70703125	0.80224609375	158	0	0.3333333333333333	0.5733333333333334	0.013333333333333334	1
159	4.1591796875	0.600712890625	0.405419921875	1.70703125	0.80224609375	159	1	0.3333333333333333	0.51	0.0	1
160	4.1591796875	0.600712890625	0.028369140624999997	1.00390625	0.80224609375	160	2	0.26666666666666666	0.48	0.0033333333333333335	1
161	4.1591796875	0.600712890625	0.028369140624999997	1.70703125	0.61240234375	161	1	0.2	0.4666666666666667	0.006666666666666667	1
162	4.1591796875	0.550439453125	0.405419921875	1.00390625	0.61240234375	162	2	0.26666666666666666	0.49333333333333335	0.0	1
